Package_Name	Description	Updated_Date
zga	Prokaryotic genome assembly and annotation pipeline	2024-09-13
kleborate	Kleborate: a tool for typing and screening pathogen genome assemblies	2024-09-13
orthologer	Assessment of assembly completeness using Universal Single Copy Orthologs.	2024-09-13
hhsuite	HH-suite3 for fast remote homology detection and deep protein annotation	2024-09-13
auspice	Auspice is an open-source interactive tool for visualising phylogenomic data	2024-09-13
gw	View genomic sequencing data and vcf files	2024-09-12
samtools	Tools for dealing with SAM, BAM and CRAM files	2024-09-12
microhapulator	Tools for empirical microhaplotype calling, forensic interpretation, and simulation.	2024-09-12
methylmap	Plotting tool for population-scale nucleotide modifications	2024-09-12
strangepg	Strange pangenome-scale interactive graph visualizer	2024-09-12
graphtyper	Population-scale genotyping using pangenome graphs	2024-09-12
geofetch	Downloads data and metadata from GEO and SRA and creates standard PEPs.	2024-09-11
gdc-client	GDC Data Transfer Tool	2024-09-11
fastlin	fastlin, ultra-fast MTBC lineage typing	2024-09-11
snakemake-executor-plugin-slurm	A Snakemake executor plugin for submitting jobs to a SLURM cluster.	2024-09-11
mcl	MCL - a cluster algorithm for graphs	2024-09-11
hybpiper	HybPiper is a suite of Python scripts/modules for targeted sequence capture.	2024-09-11
quota_anchor	Strand and WGD aware syntenic gene identification	2024-09-10
moods	MOODS: Motif Occurrence Detection Suite	2024-09-10
vcflib	Command-line tools for manipulating VCF files.	2024-09-10
fibertools-rs	Mitchell Vollger's rust tools for fiberseq data.	2024-09-10
r-stitch	STITCH - Sequencing To Imputation Through Constructing Haplotypes.	2024-09-10
perl-mce-shared	MCE extension for sharing data supporting threads and processes	2024-09-10
seqwish	Alignment to variation graph inducer	2024-09-09
oakvar	OakVar - Genomic Variant Analysis Platform	2024-09-06
cami-amber	AMBER: Assessment of Metagenome BinnERs	2024-09-06
skder	skDER & CiDDER: efficient & high-resolution dereplication methods for microbial genomes	2024-09-05
binette	A fast and accurate binning refinement tool to constructs high quality MAGs from the output of multiple binning tools.	2024-09-05
python-edlib	Lightweight, super fast C/C++ (& Python) library for sequence alignment using edit (Levenshtein) distance.	2024-09-05
beacon2-import	Seamlessly import and query genomic variant data from a beacon	2024-09-04
eukulele	Easy taxonomic annotation for eukaryotic microbes.	2024-09-04
last	LAST finds & aligns related regions of sequences.	2024-09-03
perl-graph	a Perl extension for keeping data partially sorted	2024-09-02
mgnify-pipelines-toolkit	Collection of scripts and tools for MGnify pipelines	2024-09-02
beav	beav: Bacterial genome and mobile element annotation pipeline	2024-09-02
wfmash	a pangenome-scale aligner	2024-09-02
scoring-matrices	Dependency free, Cython-compatible scoring matrices to use with biological sequences.	2024-08-31
sorted_nearest	Find nearest interval.	2024-08-30
flye	A fast and accurate de novo assembler for single molecule sequencing reads using repeat graphs.	2024-08-30
ntm-profiler	Profiling tool for NTM to detect species and resistance from WGS data	2024-08-30
pathogen-profiler	Library giving access to classes and functions to create a profiling tool to look for mutations from NGS data.	2024-08-30
pango-collapse	Collapse Pango sublineages up to user defined parent lineages.	2024-08-29
lsabgc	lsaBGC-Pan - refined workflow for pan-BGC-omic evolutionary investigations.	2024-08-28
spoa	SIMD partial order alignment tool/library	2024-08-28
kmertools	kmertools: DNA Vectorisation Tool	2024-08-28
ucsc-catdir	concatenate files in directory to stdout.	2024-08-27
ucsc-bedremoveoverlap	Remove overlapping records from a (sorted) bed file.  Gets rid of	2024-08-27
ucsc-maffetch	get overlapping records from an MAF using an index table	2024-08-27
ucsc-pslsort	Merge and sort psCluster .psl output files	2024-08-27
bx-python	Tools for manipulating biological data, particularly multiple sequence alignments	2024-08-27
ucsc-paranodestatus	version 12.18	2024-08-27
ucsc-parahubstop	version 12.18	2024-08-27
ucsc-expmatrixtobarchartbed	Generate a barChart bed6+5 file from a matrix, meta data, and coordinates.	2024-08-27
ucsc-pslsomerecords	Extract multiple psl records	2024-08-27
ucsc-para	version 12.18	2024-08-27
ucsc-autosql	create SQL and C code for permanently storing	2024-08-27
ucsc-genepredtoprot	create protein sequences by translating gene annotations	2024-08-27
ucsc-randomlines	Pick out random lines from file	2024-08-27
ucsc-catuncomment	Concatenate input removing lines that start with '#'	2024-08-27
ucsc-farc	Reverse complement a FA file	2024-08-27
bwa-aln-interactive	Version of the BWA aln read mapper for interactive alignment.	2024-08-27
ucsc-pslrecalcmatch	Recalculate match,mismatch,repMatch columns in psl file.	2024-08-27
ucsc-pslreps	Analyze repeats and generate genome-wide best alignments from a	2024-08-27
ucsc-paranodestart	version 12.18	2024-08-27
ucsc-twobitdup	check to see if a twobit file has any identical sequences in it	2024-08-27
ucsc-mafsplit	Split multiple alignment files	2024-08-27
ucsc-bigwigcorrelate	Correlate bigWig files, optionally only on target regions.	2024-08-27
ucsc-fasplit	Split an fa file into several files.	2024-08-27
ucsc-xmlcat	Concatenate xml files together, stuffing all records inside a single outer tag.	2024-08-27
ucsc-blat	Standalone BLAT v. 36x2 fast sequence search command line tool	2024-08-27
ucsc-maffilter	Filter out maf files. Output goes to standard out	2024-08-27
ucsc-subchar	Substitute one character for another throughout a file.	2024-08-27
ucsc-bedweedoverlapping	Filter out beds that overlap a 'weed.bed' file.	2024-08-27
ucsc-axtswap	Swap source and query in an axt file	2024-08-27
ucsc-ratolines	Output .ra file stanzas as single lines, with pipe-separated fields.	2024-08-27
ucsc-pslselect	select records from a PSL file.	2024-08-27
ucsc-pslliftsubrangeblat	lift PSLs from blat subrange alignments	2024-08-27
ucsc-bigwigcluster	Cluster bigWigs using a hacTree	2024-08-27
ucsc-headrest	Return all *but* the first N lines of a file.	2024-08-27
ucsc-pslswap	Swap target and query in psls	2024-08-27
ucsc-chainmergesort	Combine sorted files into larger sorted file	2024-08-27
ucsc-newpythonprog	Make a skeleton for a new python program	2024-08-27
ucsc-nibsize	print size of nibs	2024-08-27
ucsc-fastqstatsandsubsample	Go through a fastq file doing sanity checks and collecting stats	2024-08-27
ucsc-bedgraphpack	Pack together adjacent records representing same value.	2024-08-27
ucsc-fafrag	Extract a piece of DNA from a .fa file.	2024-08-27
ucsc-countchars	Count the number of occurrences of a particular char	2024-08-27
ucsc-psldropoverlap	deletes all overlapping self alignments.	2024-08-27
ucsc-mafranges	Extract ranges of target (or query) coverage from maf and	2024-08-27
ucsc-fasomerecords	Extract multiple fa records	2024-08-27
ucsc-hgfakeagp	Create fake AGP file by looking at N's	2024-08-27
ucsc-paranode	version 12.18	2024-08-27
ucsc-fafilter	Filter fa records, selecting ones that match the specified conditions	2024-08-27
fastani	FastANI is developed for fast alignment-free computation of whole-genome Average Nucleotide Identity (ANI).	2024-08-27
ucsc-ameme	find common patterns in DNA	2024-08-27
ucsc-liftup	change coordinates of .psl, .agp, .gap, .gl, .out, .align, .gff, .gtf	2024-08-27
ucsc-pslrc	reverse-complement psl	2024-08-27
ucsc-checkagpandfa	takes a .agp file and .fa file and ensures that they are in synch	2024-08-27
ucsc-avecols	average together columns	2024-08-27
ucsc-bedpileups	Find (exact) overlaps if any in bed input	2024-08-27
ucsc-paratestjob	version 12.18	2024-08-27
ucsc-bigwigcat	merge non-overlapping bigWig files	2024-08-27
ucsc-maketablelist	create/recreate tableList tables (cache of SHOW TABLES and DESCRIBE)	2024-08-27
ucsc-tdbquery	Query the trackDb system using SQL syntax.	2024-08-27
ucsc-parasync	uses paraFetch to recursively mirror url to given path	2024-08-27
ucsc-mafsinregion	Extract MAFS in a genomic region	2024-08-27
ucsc-bedextendranges	extend length of entries in bed 6+ data to be at least the given length,	2024-08-27
ucsc-newprog	make a new C source skeleton.	2024-08-27
ucsc-pslstats	collect statistics from a psl file.	2024-08-27
ucsc-hgfindspec	Create hgFindSpec table from trackDb.ra files.	2024-08-27
ucsc-maskoutfa	Produce a masked .fa file given an unmasked .fa and	2024-08-27
ucsc-bigwigmerge	Merge together multiple bigWigs into a single output bedGraph.	2024-08-27
