Package	Description	Updated_Date
bioconductor-milor	Differential neighbourhood abundance testing on a graph	2025-01-04
bioconductor-gosorensen	Statistical inference based on the Sorensen-Dice dissimilarity and the Gene Ontology (GO)	2025-01-04
bioconductor-profileplyr	Visualization and annotation of read signal over genomic ranges with profileplyr	2025-01-04
bioconductor-tekrabber	An R package estimates the correlations of orthologs and transposable elements between two species	2025-01-04
bioconductor-mineica	Analysis of an ICA decomposition obtained on genomics data	2025-01-04
bioconductor-genvisr	Genomic Visualizations in R	2025-01-04
bioconductor-tdbasedufeadv	Advanced package of tensor decomposition based unsupervised feature extraction	2025-01-04
bioconductor-r453plus1toolbox	A package for importing and analyzing data from Roche's Genome Sequencer System	2025-01-04
bioconductor-sarc	Statistical Analysis of Regions with CNVs	2025-01-03
bioconductor-waddr	Statistical tests for detecting differential distributions based on the 2-Wasserstein distance	2025-01-03
bioconductor-signer	Empirical Bayesian approach to mutational signature discovery	2025-01-03
bioconductor-usort	uSORT: A self-refining ordering pipeline for gene selection	2025-01-03
bioconductor-rblast	R Interface for the Basic Local Alignment Search Tool	2025-01-03
bioconductor-bobafit	Refitting diploid region profiles using a clustering procedure	2025-01-03
stacks	Stacks is a software pipeline for building loci from short-read sequences.	2025-01-03
vvv2_display	Creates png image file with all [vardict] variants proportions alongside genome/assembly with annotations from [vadr].	2025-01-03
bioconductor-beadsorted.saliva.epic	Illumina EPIC data on BeadSorted child saliva cells	2025-01-03
bioconductor-genomicdistributionsdata	Reference data for GenomicDistributions package	2025-01-03
bioconductor-delayedtensor	R package for sparse and out-of-core arithmetic and decomposition of Tensor	2025-01-03
bioconductor-enhancerhomologsearch	Identification of putative mammalian orthologs to given enhancer	2025-01-03
bioconductor-easylift	An R package to perform genomic liftover	2025-01-03
bioconductor-filterffpe	FFPE Artificial Chimeric Read Filter for NGS data	2025-01-03
bioconductor-bags	A Bayesian Approach for Geneset Selection	2025-01-03
fusion-report	Tool for parsing outputs from fusion detection tools. Part of a nf-core/rnafusion pipeline	2025-01-03
